[2025-04-02 12:11:33,888] INFO: [CLIENT] Sent video packet of size 57286 at timestamp 1743585093.8874285
[2025-04-02 12:11:33,936] INFO: [CLIENT] Sent video packet of size 57651 at timestamp 1743585093.935407
[2025-04-02 12:11:33,984] INFO: [CLIENT] Sent video packet of size 57920 at timestamp 1743585093.9832244
[2025-04-02 12:11:34,030] INFO: [CLIENT] Sent video packet of size 57790 at timestamp 1743585094.0294716
[2025-04-02 12:11:34,078] INFO: [CLIENT] Sent video packet of size 58256 at timestamp 1743585094.0774195
[2025-04-02 12:11:34,125] INFO: [CLIENT] Sent video packet of size 58063 at timestamp 1743585094.124458
[2025-04-02 12:11:34,173] INFO: [CLIENT] Sent video packet of size 57640 at timestamp 1743585094.1725302
[2025-04-02 12:11:34,219] INFO: [CLIENT] Sent video packet of size 57686 at timestamp 1743585094.2183907
[2025-04-02 12:11:34,267] INFO: [CLIENT] Sent video packet of size 58072 at timestamp 1743585094.2664905
[2025-04-02 12:11:34,315] INFO: [CLIENT] Sent video packet of size 57938 at timestamp 1743585094.3135405
[2025-04-02 12:11:34,363] INFO: [CLIENT] Sent video packet of size 58730 at timestamp 1743585094.3621619
[2025-04-02 12:11:34,410] INFO: [CLIENT] Sent video packet of size 58027 at timestamp 1743585094.4084568
[2025-04-02 12:11:34,456] INFO: [CLIENT] Sent video packet of size 57478 at timestamp 1743585094.4555798
[2025-04-02 12:11:34,504] INFO: [CLIENT] Sent video packet of size 57399 at timestamp 1743585094.5035813
[2025-04-02 12:11:34,552] INFO: [CLIENT] Sent video packet of size 57011 at timestamp 1743585094.5514688
[2025-04-02 12:11:34,599] INFO: [CLIENT] Sent video packet of size 57194 at timestamp 1743585094.597866
[2025-04-02 12:11:34,647] INFO: [CLIENT] Sent video packet of size 57180 at timestamp 1743585094.6454961
[2025-04-02 12:11:34,693] INFO: [CLIENT] Sent video packet of size 57238 at timestamp 1743585094.6918533
[2025-04-02 12:11:34,741] INFO: [CLIENT] Sent video packet of size 57194 at timestamp 1743585094.7400317
[2025-04-02 12:11:34,785] INFO: [CLIENT] Sent video packet of size 56941 at timestamp 1743585094.7848868
[2025-04-02 12:11:34,833] INFO: [CLIENT] Sent video packet of size 57103 at timestamp 1743585094.8319445
[2025-04-02 12:11:34,879] INFO: [CLIENT] Sent video packet of size 57333 at timestamp 1743585094.8779814
[2025-04-02 12:11:34,926] INFO: [CLIENT] Sent video packet of size 57772 at timestamp 1743585094.9250998
[2025-04-02 12:11:34,973] INFO: [CLIENT] Sent video packet of size 58286 at timestamp 1743585094.9720318
[2025-04-02 12:11:35,019] INFO: [CLIENT] Sent video packet of size 57889 at timestamp 1743585095.018074
[2025-04-02 12:11:35,066] INFO: [CLIENT] Sent video packet of size 58033 at timestamp 1743585095.0650835
[2025-04-02 12:11:35,112] INFO: [CLIENT] Sent video packet of size 58828 at timestamp 1743585095.1110446
[2025-04-02 12:11:35,159] INFO: [CLIENT] Sent video packet of size 58459 at timestamp 1743585095.158051
[2025-04-02 12:11:35,207] INFO: [CLIENT] Sent video packet of size 58448 at timestamp 1743585095.2060158
[2025-04-02 12:11:35,254] INFO: [CLIENT] Sent video packet of size 58803 at timestamp 1743585095.252179
[2025-04-02 12:11:35,300] INFO: [CLIENT] Sent video packet of size 58793 at timestamp 1743585095.299145
[2025-04-02 12:11:35,347] INFO: [CLIENT] Sent video packet of size 58632 at timestamp 1743585095.3461568
